summary,product,comp,updated,lemmatized_str,cluster_labels,cluster1,cluster2,common_words
"""open with"" should offer my desktop entrys        ",Firefox,File Handling        ,2022-10-10    ,open offer desktop entry ,0,open,open,open
"""open file"" dialog shows .exe, .dll files etc        ",Firefox,General        ,2022-10-10    ,open file dialog show exe dll file etc ,0,"file, open, show",open,open
"*.dmg files download via firefox, and the program then attempts to open by launching quicktime.        ",Toolkit,Downloads API        ,2022-10-10    ,dmg file download via firefox program attempt open launching quicktime ,0,"file, open",open,open
in an openfiledialog win/command + a is not selecting all the files in a folder in firefox        ,Firefox,Keyboard Navigation        ,2022-10-10    ,openfiledialog wincommand selecting file folder firefox ,0,"file, open",open,open
new global sharing indicator opens in the center of the screen        ,Firefox,Site Permissions        ,2020-06-17    ,new global sharing indicator open center screen ,0,open,"open, screen",open
firefox devedition can't be opened in a private window from launcher on ubuntu        ,Core,Widget: Gtk        ,2022-10-11    ,firefox devedition cant opened private window launcher ubuntu ,1,open,"window, open, private, opened",open
open in private window option should not be available if you have private browsing always enabled        ,Firefox,New Tab Page        ,2022-10-11    ,open private window option available private browsing always enabled ,1,"open, option","window, open, private",open
"when called from link in email or other app, firefox launches but does not open the url        ",Core,Widget: Cocoa        ,2020-06-23    ,called link email app firefox launch open url ,0,open,open,open
"[mac os x / cocoa] using dual monitors, firefox/thunderbird opens in wrong monitor        ",Core,Widget: Cocoa        ,2022-10-11    ,mac o x cocoa using dual monitor firefoxthunderbird open wrong monitor ,0,open,"open, monitor",open
firefox 75 window.open return null all the time        ,Core,DOM: Core & HTML        ,2022-10-11    ,firefox 75 windowopen return null time ,0,open,"window, open",open
cannot open local file at named anchor from command line        ,Firefox,File Handling        ,2022-10-10    ,cannot open local file named anchor command line ,0,"file, open",open,open
url drag and drop from other applications opens incorrect url        ,Firefox,Shell Integration        ,2022-10-10    ,url drag drop application open incorrect url ,0,open,open,open
[i3wm] opening firefox doesn't make it urgent        ,Core,Widget: Gtk        ,2022-09-15    ,i3wm opening firefox doesnt make urgent ,0,open,"open, opening",open
pdf downloads to unc path on windows fail to open and leave firefox unusable        ,Firefox,Downloads Panel        ,2022-10-28    ,pdf downloads unc path window fail open leave firefox unusable ,1,open,"window, open",open
file handle remains open/locked by firefox after local file accidentally dropped on browser window        ,Core,Networking: File        ,2022-10-11    ,file handle remains openlocked firefox local file accidentally dropped browser window ,1,"file, open","window, open, browser",open
firefox doesn't open many downloaded files or other applications        ,Core,Widget: Gtk        ,2022-02-12    ,firefox doesnt open many downloaded file application ,0,"file, open",open,open
gpu cpu usage firefox horizon openstack        ,Core,Graphics        ,2022-02-24    ,gpu cpu usage firefox horizon openstack ,0,open,open,open
sort out if/when/where to make focus calls on the content when using openlinkin        ,Firefox,Tabbed Browser        ,2022-10-11    ,sort ifwhenwhere make focus call content using openlinkin ,0,open,open,open
firefox snap won't open api.whatsapp.com hyperlinks        ,Core,Widget: Gtk        ,2022-02-08    ,firefox snap wont open apiwhatsappcom hyperlink ,0,open,open,open
application selection for opening downloaded files is different between panel and library        ,Firefox,Downloads Panel        ,2022-10-11    ,application selection opening downloaded file different panel library ,0,"file, open","open, opening",open
error: createfromfield requires a password or username field in a document when opening the change master password dialog        ,Firefox,Settings UI        ,2022-10-11    ,error createfromfield requires password username field document opening change master password dialog ,0,"open, error","open, opening",open
firefox can't open files in flatpak programs on linux        ,Core,Widget: Gtk        ,2022-01-21    ,firefox cant open file flatpak program linux ,0,"file, open",open,open
missing referrer handling test for openuriinframe in browser.js        ,Firefox,Tabbed Browser        ,2022-10-11    ,missing referrer handling test openuriinframe browserjs ,0,"open, test","open, browser",open
provide an option to store files opened with helper applications in the downloads directory        ,Firefox,File Handling        ,2022-10-10    ,provide option store file opened helper application downloads directory ,0,"file, open, option","open, opened",open
"after firefox 46.0 update, unable to open the browser, ""could not find the mozilla runtime.""        ",Toolkit,Application Update        ,2022-10-11    ,firefox 460 update unable open browser could find mozilla runtime ,0,open,"open, browser",open
"when replacing expired digital certificate, firefox requires close and open        ",Core,Security: PSM        ,2022-10-11    ,replacing expired digital certificate firefox requires close open ,0,open,"open, close",open
firefox freezes when used with a screen reader and the first opened page is a page of a github user        ,Core,Disability Access AP        ,2022-01-07    ,firefox freeze used screen reader first opened page page github user ,0,"page, open","open, screen, opened",open
firefox does not start up with xorg and openvpn        ,Core,Widget: Gtk        ,2022-02-19    ,firefox start xorg openvpn ,0,open,open,open
kde - option to open firefox in empty virtual desktop        ,Core,Widget: Gtk        ,2020-11-18    ,kde option open firefox empty virtual desktop ,0,"open, option",open,open
"when laptop network switches , thunderbird and firefox browser will not catch the network change, we have to close and reopen browser        ",Core,Networking        ,2022-10-11    ,laptop network switch thunderbird firefox browser catch network change close reopen browser ,0,"open, work","open, close, browser",open
no option for file:\\\ * .<filetype> to open in program outside firefox if textual.        ,Firefox,File Handling        ,2022-10-10    ,option file filetype open program outside firefox textual ,0,"file, open, option",open,open
opening link from discord causes firefox to freeze on i3-gaps        ,Core,Widget: Gtk        ,2021-12-08    ,opening link discord cause firefox freeze i3gaps ,0,open,"open, opening",open
[meta] simplify the process to open an external application from firefox        ,Firefox,General        ,2021-09-27    ,meta simplify process open external application firefox ,0,open,open,open
address picker open state options don't vary by country        ,Firefox,WebPayments UI        ,2022-10-11    ,address picker open state option dont vary country ,0,"add, open, option",open,open
"web page error not trapped and when ff closed, ff process stays open        ",Firefox,General        ,2022-10-10    ,web page error trapped ff closed ff process stay open ,0,"page, open, error","open, close",open
"can not toggle ""special characters"" window open/closed.        ",Firefox,Menus        ,2022-10-10    ,toggle special character window openclosed ,1,open,"window, open, close",open
fail to open links in webpages        ,Firefox,Tabbed Browser        ,2021-10-18    ,fail open link webpage ,0,"page, open",open,open
pdf is opened on another application rather than on firefox        ,Firefox,File Handling        ,2021-07-26    ,pdf opened another application rather firefox ,0,open,"open, opened",open
subdialog windows won't open on sparc solaris        ,Firefox,Settings UI        ,2022-10-11    ,subdialog window wont open sparc solaris ,1,open,"window, open",open
firefox ios - new page every time app opens        ,Firefox for iOS,General        ,2022-10-15    ,firefox io new page every time app open ,0,"page, open",open,open
firefox with openh264 codec can't play a video with pixel format in yuv422p        ,Core,Audio/Video: Playbac        ,2022-10-03    ,firefox openh264 codec cant play video pixel format yuv422p ,0,open,open,open
firefox quantum shaving top of form when open for several hours        ,Core,Window Management        ,2022-10-11    ,firefox quantum shaving top form open several hour ,0,open,open,open
visual glitches on open windows after firefox restart        ,Firefox,Session Restore        ,2021-12-24    ,visual glitch open window firefox restart ,1,open,"window, open",open
firefox does not correctly detect application to open a (binary) file with in gnome        ,Core,Widget: Gtk        ,2022-10-11    ,firefox correctly detect application open binary file gnome ,0,"file, open",open,open
firefox (latest ver) crashes upon open running on mac 11.6        ,Core,Widget: Cocoa        ,2021-10-21    ,firefox latest ver crash upon open running mac 116 ,0,"open, test",open,open
multiple windows opened when clicking hyperlinks in third party software        ,Firefox,Shell Integration        ,2022-10-10    ,multiple window opened clicking hyperlink third party software ,1,open,"window, open, opened",open
firefox 57+ takes a long time to download openh264        ,Core,WebRTC: Audio/Video        ,2022-10-11    ,firefox 57 take long time download openh264 ,0,open,open,open
"always have to send print job twice upon opening firefox, with citizen ct-s310ii receipt printer        ",Core,Printing: Setup        ,2021-08-27    ,always send print job twice upon opening firefox citizen cts310ii receipt printer ,0,open,"open, 10, opening",open
open/save dialog box glitch        ,Firefox,Theme        ,2022-03-09    ,opensave dialog box glitch ,0,open,open,open
firefox open dialog window keeps resetting to a smaller size        ,Core,Widget: Cocoa        ,2022-10-11    ,firefox open dialog window keep resetting smaller size ,1,open,"window, open, size",open
crashes due to amd opencl when working with pictures        ,External Software Af,Other        ,2022-10-10    ,crash due amd opencl working picture ,0,"open, work",open,open
"set the ""noautohide"" attribute properly before opening popup notifications        ",Firefox,Site Identity        ,2022-10-11    ,set noautohide attribute properly opening popup notification ,0,open,"open, opening",open
linux firefox intermittently crashes when opening google maps [@ update_textures ]        ,Core,Graphics: CanvasWebG        ,2022-10-11    ,linux firefox intermittently crash opening google map updatetextures ,0,open,"open, opening",open
opening big video and tagging people on facebook hangs firefox's network connection        ,Core,Audio/Video: Playbac        ,2022-10-11    ,opening big video tagging people facebook hang firefoxs network connection ,0,"open, work","open, opening",open
opening a new _emtpy_ window (i.e. about:blank) takes a really noticeable time        ,Firefox,General        ,2022-10-10    ,opening new emtpy window ie aboutblank take really noticeable time ,1,open,"window, open, opening",open
when importing bookmarks many windows are opened in firefox snap and firefox flatpak        ,Core,Widget: Gtk        ,2022-10-21    ,importing bookmark many window opened firefox snap firefox flatpak ,1,"bookmark, open","window, open, opened",open
firefox freezes when opening an item from download drop-down with no associated program        ,Core,XPCOM        ,Mon 04:18    ,firefox freeze opening item download dropdown associated program ,0,open,"open, opening",open
make openlinkin throw an exception for unsupported 'where' values        ,Firefox,Tabbed Browser        ,2022-10-11    ,make openlinkin throw exception unsupported value ,0,open,open,open
ask whether to open browser when automatically started by other software        ,Firefox,General        ,2022-10-10    ,ask whether open browser automatically started software ,0,open,"open, browser",open
"""open what to do"" with (dot)do files.        ",Firefox,File Handling        ,2022-10-10    ,open dotdo file ,0,"file, open",open,open
system defaults checking warning did not pop up after kill forcefully and quickly reopen firefox3.7a1pre        ,Firefox,Settings UI        ,2022-10-10    ,system default checking warning pop kill forcefully quickly reopen firefox37a1pre ,0,open,open,open
[regression] application/zip download action resets from save to disk to open with archive manager via weird download-already-downloaded-file-dialog shown        ,Firefox,File Handling        ,2022-10-15    ,regression applicationzip download action reset save disk open archive manager via weird downloadalreadydownloadedfiledialog shown ,0,"file, open, show",open,open
hyperlinks in tb do not open in firefox        ,Thunderbird,Mail Window Front En        ,2022-07-17    ,hyperlink tb open firefox ,0,open,open,open
"when opening a file with an ampersand in it, anything after the ampersand is dropped when calling the program to do the opening.        ",Firefox,File Handling        ,2022-10-10    ,opening file ampersand anything ampersand dropped calling program opening ,0,"file, open","open, opening",open
firefox csp bypass through  window.opener        ,Core,DOM: Security        ,2022-10-11    ,firefox csp bypass windowopener ,0,open,"window, open",open
window.opener not set by shift-click        ,Firefox,Keyboard Navigation        ,2022-10-10    ,windowopener set shiftclick ,0,open,"window, open",open
"libreoffice help fails to open anything but error in firefox (snap, lubuntu kinetic)        ",Core,Widget: Gtk        ,2022-06-08    ,libreoffice help fails open anything error firefox snap lubuntu kinetic ,0,"open, error",open,open
"if firefox 14 isn't running, opening an associated file (e.g. html) locally launches it twice in separate windows.        ",Firefox,Shell Integration        ,2022-10-10    ,firefox 14 isnt running opening associated file eg html locally launch twice separate window ,1,"file, open","window, open, opening",open
firefox wont open propperly        ,Core,Widget: Gtk        ,2022-04-05    ,firefox wont open propperly ,0,open,open,open
"upon open ""when firefox starts"", ""use bookmark"" only open the first 2 bookmarks of 7 in the list        ",Firefox,Settings UI        ,2022-10-10    ,upon open firefox start use bookmark open first 2 bookmark 7 list ,0,"bookmark, open",open,open
"when turning off an extra display/monitor, sometimes firefox will try to open on that closed display/monitor, failing to open.        ",Core,Window Management        ,2022-04-15    ,turning extra displaymonitor sometimes firefox try open closed displaymonitor failing open ,0,open,"open, close, monitor",open
"when i open amazonprimevideo, firefox keep disconnect and re-connect my 3rd display        ",Core,Audio/Video: Playbac        ,2022-09-08    ,open amazonprimevideo firefox keep disconnect reconnect 3rd display ,0,open,open,open
firefox stops scrolling using the synaptics touchpad after opening a pdf file in adobe reader        ,Core,Widget: Win32        ,2022-10-11    ,firefox stop scrolling using synaptics touchpad opening pdf file adobe reader ,0,"file, open","open, opening",open
"on ubuntu-based distro elementary os, open containing folder attempts to open the file explorer at pptx files instead of the downloads folder they are contained in.        ",Firefox,Downloads Panel        ,2022-10-11    ,ubuntubased distro elementary o open containing folder attempt open file explorer pptx file instead downloads folder contained ,0,"file, open",open,open
firefox linux unable to save position on secondary display and always opens on main display        ,Firefox,Session Restore        ,2022-10-17    ,firefox linux unable save position secondary display always open main display ,0,open,open,open
open .bank in the banking container        ,Firefox,Tabbed Browser        ,2022-05-17    ,open bank banking container ,0,open,open,open
can't type an open bracket on mac os x        ,Firefox,Keyboard Navigation        ,2022-10-10    ,cant type open bracket mac o x ,0,open,open,open
firefox does not display theme icons under openbox windows manager        ,Firefox,General        ,2022-10-10    ,firefox display theme icon openbox window manager ,1,open,"window, open",open
"firefox on wayland crashes when opening ublock panel, ""code should not be reached""        ",Core,Widget: Gtk        ,2022-05-20    ,firefox wayland crash opening ublock panel code reached ,0,open,"open, opening",open
firefox (100.0.2) freezes when private window is opened in fullscreen (linux)        ,Core,Widget: Gtk        ,2022-05-26    ,firefox 10002 freeze private window opened fullscreen linux ,1,open,"window, open, 10, private, screen, opened",open
-no-remote does not prevent remote open if no instances of firefox running without -no-remote        ,Toolkit,Startup and Profile         ,2022-10-10    ,noremote prevent remote open instance firefox running without noremote ,0,open,open,open
"linux/kde/opensuse: when the profile manager is opened at start-up, links from mails cannot be opened in firefox        ",Thunderbird,Untriaged        ,2022-04-28    ,linuxkdeopensuse profile manager opened startup link mail cannot opened firefox ,0,"file, open","open, opened",open
in xfce firefox doesn't open in the current workspace but in wherever it was started last        ,Core,Widget: Gtk        ,2022-06-03    ,xfce firefox doesnt open current workspace wherever started last ,0,"open, work",open,open
nightly will not open since thursday        ,Firefox,General        ,2022-10-10    ,nightly open since thursday ,0,open,open,open
"when i close a firefox window, instead of returning to the ""calling"" window, it reverts to the last open firefox window (firefox 10 on windows xp)        ",Core,Widget: Win32        ,2022-10-10    ,close firefox window instead returning calling window reverts last open firefox window firefox 10 window xp ,1,open,"window, open, 10, close",open
old video content shows when opening new video        ,Firefox,General        ,2022-10-10    ,old video content show opening new video ,0,"open, show","open, opening",open
"incorrect handler display on about:preferences after ""always open similar files"" (can't find default handler for css files)        ",Firefox,Downloads Panel        ,2022-02-04    ,incorrect handler display aboutpreferences always open similar file cant find default handler cs file ,0,"file, open",open,open
backgroundpagethumbs.xhtml leaks when closing firefox if about:config page is ever opened        ,Toolkit,General        ,2022-10-11    ,backgroundpagethumbsxhtml leak closing firefox aboutconfig page ever opened ,0,"page, open","open, opened",open
let placescommandhook.bookmarklink open a doorhanger instead of a modal dialog        ,Firefox,Bookmarks & History        ,2022-10-11    ,let placescommandhookbookmarklink open doorhanger instead modal dialog ,0,"bookmark, open",open,open
mozilla/dom/keyframeeffect.h(19) : fatal error c1083: cannot open include file: 'mozilla/dom/animationeffectreadonly.h': no such file or directory        ,Firefox Build System,General        ,2022-10-11    ,mozilladomkeyframeeffecth19 fatal error c1083 cannot open include file mozilladomanimationeffectreadonlyh file directory ,0,"file, open, error","open, 10",open
"open with dialog doesn't offer correct apps to open, but from dn library it works        ",Firefox,File Handling        ,2022-10-11    ,open dialog doesnt offer correct apps open dn library work ,0,"open, work",open,open
attempts to open pdfs with gedit        ,Firefox,File Handling        ,2022-10-11    ,attempt open pdfs gedit ,0,open,open,open
the action for malware downloads should open a dialog with more information        ,Firefox,Downloads Panel        ,2022-10-11    ,action malware downloads open dialog information ,0,open,open,open
[snap] firefox will not open in guest session of ubuntu mate 22.04        ,Firefox Build System,Third Party Packagin        ,2022-10-10    ,snap firefox open guest session ubuntu mate 2204 ,0,open,open,open
setting an article opened in reader view as homepage is not working        ,Firefox for iOS,General        ,2022-10-11    ,setting article opened reader view homepage working ,0,"page, open, work","open, opened",open
empty dialog becomes zombie compartment after window.open        ,Firefox,Tabbed Browser        ,2022-10-11    ,empty dialog becomes zombie compartment windowopen ,0,open,"window, open",open
"firefox 6; when ff6 launches ff6 is in ""not active"" mode and ff6 does not open ""on top""        ",Firefox,General        ,2022-10-10    ,firefox 6 ff6 launch ff6 active mode ff6 open top ,0,open,open,open
?dllblocklist_initialize@@yaxxz error when opening a link from thunderbird        ,Firefox,General        ,2022-10-11    ,dllblocklistinitializeyaxxz error opening link thunderbird ,0,"open, error","open, opening",open
firefox 6 won't open        ,Firefox,General        ,2022-10-10    ,firefox 6 wont open ,0,open,open,open
options window opens on the wrong monitor in windows 8.1 when snapped        ,Firefox,General        ,2022-10-11    ,option window open wrong monitor window 81 snapped ,1,"open, option","window, open, monitor",open
firefox 106 snap no longer can open magnet links in tixati        ,Core,Widget: Gtk        ,2022-11-04    ,firefox 106 snap longer open magnet link tixati ,0,open,"open, 10",open
"""open file"" obeys site-specified content types too aggressively        ",Firefox,Downloads Panel        ,2022-10-11    ,open file obeys sitespecified content type aggressively ,0,"file, open",open,open
links to sharepoint files do not open        ,Firefox,File Handling        ,2022-07-31    ,link sharepoint file open ,0,"file, open",open,open
firefox (mac) does not open external links when run from a script        ,Core,Widget: Cocoa        ,2020-05-19    ,firefox mac open external link run script ,0,open,open,open
"when you add a pocket bookmark, it plays an animation which blocks the bookmarks from being opened        ",Firefox,Toolbars and Customi        ,2022-10-10    ,add pocket bookmark play animation block bookmark opened ,0,"add, bookmark, open","open, opened",open
delete history on close doesn't work when shutting down the computer while firefox is opened        ,Toolkit,Data Sanitization        ,2022-05-03    ,delete history close doesnt work shutting computer firefox opened ,0,"open, work","open, close, opened",open
"if you see the css active of a select drop down, if you open the drop down and dont move your mouse and click it again, it shows the active css again, it shouldnt        ",Firefox,General        ,2022-10-10    ,see cs active select drop open drop dont move mouse click show active cs shouldnt ,0,"open, show",open,open
recent used external applications list (open with..) doesn't appear when downloading a file        ,Firefox,File Handling        ,2022-10-11    ,recent used external application list open doesnt appear downloading file ,0,"file, open",open,open
"private browsing - click on icon of ""open new window"" should open another private window        ",Firefox,Private Browsing        ,2022-10-11    ,private browsing click icon open new window open another private window ,1,open,"window, open, private",open
"console spam from window.open, stack trace included        ",Firefox,General        ,2022-10-11    ,console spam windowopen stack trace included ,0,open,"window, open",open
open with .. firefox        ,Firefox,General        ,2022-10-10    ,open firefox ,0,open,open,open
[meta] photon - speculatively open network connections as soon as possible when we know the intended site destination.        ,Firefox,General        ,2022-10-11    ,meta photon speculatively open network connection soon possible know intended site destination ,0,"open, work",open,open
graphic bug when you open download manager        ,Firefox,General        ,2022-10-10    ,graphic bug open download manager ,0,open,open,open
"after (perhaps coincidentally?)""syncing"", a number of sites either won't open, or open to a partial, incoherent window.        ",Firefox,General        ,2022-10-10    ,perhaps coincidentallysyncing number site either wont open open partial incoherent window ,1,open,"window, open",open
pdf causes memory leak and huge cpu load after re- opening the url        ,Firefox,PDF Viewer        ,2022-10-11    ,pdf cause memory leak huge cpu load opening url ,0,open,"open, opening",open
hyperlinks from third-party programs don't open in minefield.        ,Firefox,General        ,2022-10-10    ,hyperlink thirdparty program dont open minefield ,0,open,open,open
firefox 7.0.1 - os x 10.7.1 lion - opening firefox at boot causes long delay in loading other login items        ,Firefox,General        ,2022-10-10    ,firefox 701 o x 1071 lion opening firefox boot cause long delay loading login item ,0,open,"open, 10, opening",open
open a new private window from a private window and you have cookies from the first one        ,Firefox,Private Browsing        ,2022-10-11    ,open new private window private window cooky first one ,1,open,"window, open, private",open
user needs to sign into firefox sync each time they open firefox on mac        ,Firefox,Sync        ,2022-10-11    ,user need sign firefox sync time open firefox mac ,0,open,open,open
dragging a file from firefox's open file dialog to the windows desktop doesn't work        ,Core,Widget: Win32        ,2022-10-11    ,dragging file firefoxs open file dialog window desktop doesnt work ,1,"file, open, work","window, open",open
firefox leaks open file descriptors to subprocesses like updater        ,Toolkit,Application Update        ,2022-10-11    ,firefox leak open file descriptor subprocesses like updater ,0,"file, open",open,open
desktop icon fails to open new window after opened through ms outlook        ,Firefox,General        ,2022-10-10    ,desktop icon fails open new window opened m outlook ,1,open,"window, open, opened",open
"the ""manage account"" link should always open in a non-private window        ",Firefox,Firefox Accounts        ,2022-10-11    ,manage account link always open nonprivate window ,1,open,"window, open, private",open
"detect urls better for ""open link""        ",Firefox,Menus        ,2022-10-11    ,detect url better open link ,0,open,open,open
"""opening..."" dialog box: display problem for pdf        ",Firefox,File Handling        ,2022-10-11    ,opening dialog box display problem pdf ,0,open,"open, opening",open
"if a user creates an account for sync and closes about:accounts before she verifies her email, open the sync pref pane after she verifies her email address        ",Firefox,Sync        ,2022-10-11    ,user creates account sync close aboutaccounts verifies email open sync pref pane verifies email address ,0,"add, open","open, close",open
colors shift to dark and muted if you use fast user switching to go to the login screen and back in macos while firefox is open        ,Core,Graphics: Color Mana        ,2022-10-11    ,color shift dark muted use fast user switching go login screen back macos firefox open ,0,open,"open, screen",open
"'recently used' places is not shown in firefox dialogs (open, save, save as, downloads save)        ",Core,Widget: Gtk        ,2022-10-11    ,recently used place shown firefox dialog open save save downloads save ,0,"open, show",open,open
email account directly logged in if  it is open in another private window        ,Firefox,Private Browsing        ,2022-11-03    ,email account directly logged open another private window ,1,open,"window, open, private",open
"""homepage and new windows"" breaks the ability to open a new window *without* home pages        ",Firefox,New Tab Page        ,2022-10-11    ,homepage new window break ability open new window without home page ,1,"page, open","window, open",open
"firefox nightly: extended monitor: when watching a video /w 2 instances open and maximized on 2 different screens while video is full screen, video will flicker when typing and scrolling through web pages.        ",Core,Graphics: WebRender        ,2022-10-11    ,firefox nightly extended monitor watching video w 2 instance open maximized 2 different screen video full screen video flicker typing scrolling web page ,0,"page, open","open, screen, monitor",open
firefox opensuse kde 4 - rendering of form elements        ,Core,Layout: Form Control        ,2022-10-10    ,firefox opensuse kde 4 rendering form element ,0,open,open,open
"""download list"" window gets stuck, need reopen to see real status        ",Firefox,Downloads Panel        ,2022-10-10    ,download list window get stuck need reopen see real status ,1,open,"window, open",open
reduce activity stream ability to open about pages        ,Firefox,New Tab Page        ,2022-10-11    ,reduce activity stream ability open page ,0,"page, open",open,open
firefox5 does not open mailto links in gmail.        ,Firefox,General        ,2022-10-10    ,firefox5 open mailto link gmail ,0,open,open,open
race condition in opening the bookmarking popup        ,Firefox,Bookmarks & History        ,2022-10-11    ,race condition opening bookmarking popup ,0,"bookmark, open","open, opening",open
minor cosmetic issue when opening large number of sites in one go.        ,Firefox,Theme        ,2022-10-10    ,minor cosmetic issue opening large number site one go ,0,open,"open, opening",open
open in firefox (webextension for chrome)        ,DevTools,General        ,2022-10-11    ,open firefox webextension chrome ,0,open,open,open
"ubuntu: spamming ctrl+s opens several save widows, that can't be closed other ways than terminating firefox itself..        ",Core,Widget: Gtk        ,2022-06-23    ,ubuntu spamming ctrls open several save widow cant closed way terminating firefox ,0,open,"open, close",open
firefox v67.0(64 bit) will not open unless run as administrator on w10 v1809 (os build 17763.1503)        ,Toolkit,Startup and Profile         ,2022-10-11    ,firefox v67064 bit open unless run administrator w10 v1809 o build 177631503 ,0,open,"open, 10",open
unable to open file in mozilla        ,Firefox,General        ,2022-10-10    ,unable open file mozilla ,0,"file, open",open,open
openweblinkin should call openlinkin instead of openuilinkin        ,Firefox,General        ,2022-10-11    ,openweblinkin call openlinkin instead openuilinkin ,0,open,open,open
"browser reports ""offline mode"" when a modal ""download error"" popup window is open.        ",Firefox,General        ,2022-10-10    ,browser report offline mode modal download error popup window open ,1,"open, error","window, open, browser",open
open pfd        ,Firefox,General        ,2022-10-10    ,open pfd ,0,open,open,open
slow rendering and opening of certain pdf types        ,Firefox,PDF Viewer        ,2022-09-02    ,slow rendering opening certain pdf type ,0,open,"open, opening",open
[minor] firefox always open in a small window covering the left 1/5 of my screen        ,Core,Widget: Win32        ,2022-08-11    ,minor firefox always open small window covering left 15 screen ,1,open,"window, open, screen",open
open a group of links all at once from a text file        ,Firefox,Shell Integration        ,2022-10-10    ,open group link text file ,0,"file, open",open,open
firefox on macos constantly writes to disk even with no page opened and cache disabled        ,Core,Storage: localStorag        ,2021-11-26    ,firefox macos constantly writes disk even page opened cache disabled ,0,"page, open","open, opened",open
page updating when opening locally saved html files = 15 second delay        ,Firefox,General        ,2022-10-10    ,page updating opening locally saved html file 15 second delay ,0,"page, file, open","open, opening",open
window explorer is not opening in firefox for file://        ,Firefox,File Handling        ,2022-10-11    ,window explorer opening firefox file ,1,"file, open","window, open, opening",open
tracking protection tour stops when opening show site information at step 2 [win][mac]        ,Firefox,Tours        ,2022-10-11    ,tracking protection tour stop opening show site information step 2 winmac ,0,"open, show","open, opening",open
remove the ability to set an opensearch engine as a default engine        ,Firefox,Search        ,2021-01-27    ,remove ability set opensearch engine default engine ,0,"open, search",open,open
nautilus default opening application over-ridden by firefox        ,Core,Widget: Gtk        ,2022-06-22    ,nautilus default opening application overridden firefox ,0,open,"open, opening",open
firefox tried to open svg in safari        ,Firefox,File Handling        ,2022-10-11    ,firefox tried open svg safari ,0,open,open,open
"in firefox 32.0.1 when a user right clicks a link and has it open in a new window, we used to be able to move that new window to a 2nd monitor and after closing that 2nd window, subsequent new windows would open in the 2nd monitor.        ",Core,XUL        ,2022-10-11    ,firefox 3201 user right click link open new window used able move new window 2nd monitor closing 2nd window subsequent new window would open 2nd monitor ,1,open,"window, open, monitor",open
restore option should not be displayed if only page previously open was the home page        ,Firefox,Session Restore        ,2022-10-17    ,restore option displayed page previously open home page ,0,"page, open, option",open,open
investigate browser_windowopen_reflows.js perma-failures on windows 8 x64 and re-enable by default        ,Firefox,General        ,2022-10-11    ,investigate browserwindowopenreflowsjs permafailures window 8 x64 reenable default ,1,open,"window, open, browser",open
conflict with firefox 4.01 and blackboard webct 8 in the opening of subfolders        ,Firefox,General        ,2022-10-10    ,conflict firefox 401 blackboard webct 8 opening subfolders ,0,open,"open, opening",open
firefox opens local website with wrong port number every time        ,Firefox,Session Restore        ,2022-10-11    ,firefox open local website wrong port number every time ,0,open,open,open
can't open shortcuts/links in firefox if i have several profiles and a window of the choosen profile is already open        ,Firefox,General        ,2022-10-10    ,cant open shortcutslinks firefox several profile window choosen profile already open ,1,"file, open","window, open",open
firefox flatpak taking over 5 minutes to open.        ,Core,Widget: Gtk        ,2022-10-07    ,firefox flatpak taking 5 minute open ,0,open,open,open
"firefox slow, error messaging, and does not open at home page        ",Cloud Services,General        ,2018-09-27    ,firefox slow error messaging open home page ,0,"page, open, error",open,open
i downloaded the newer version of firefox now my firefox will not open i keep getting an error message        ,Firefox,General        ,2022-10-10    ,downloaded newer version firefox firefox open keep getting error message ,0,"open, error",open,open
"too high ""main ui zone"" when opening a new firefox window by clicking on a link in firefox dialog boxes        ",Firefox,General        ,2022-10-10    ,high main ui zone opening new firefox window clicking link firefox dialog box ,1,open,"window, open, opening",open
firefox will not open the correct program for file type in kde        ,Core,Widget: Gtk        ,2022-04-05    ,firefox open correct program file type kde ,0,"file, open",open,open
downloads panel won't open after it was closed by window losing focus        ,Firefox,Downloads Panel        ,2022-10-11    ,downloads panel wont open closed window losing focus ,1,open,"window, open, close",open
"in the newest ubuntu 22.10 release, firefox snap occasionally doesn't open and stuck at black screen after the first boot.        ",Core,Widget: Gtk        ,06:45:29    ,newest ubuntu 2210 release firefox snap occasionally doesnt open stuck black screen first boot ,0,open,"open, 10, screen",open
firefox opens two empty windows when opening links in thunderbird email        ,Thunderbird,OS Integration        ,2022-10-11    ,firefox open two empty window opening link thunderbird email ,1,open,"window, open, opening",open
security ui not degraded when mixed content loads in window.open'ed pages        ,Firefox,Security        ,2022-10-11    ,security ui degraded mixed content load windowopened page ,0,"page, open","window, open",open
ms-windows-store should not auto open in firefox        ,Firefox,File Handling        ,2022-10-11    ,mswindowsstore auto open firefox ,0,open,"window, open",open
"`firefox --browser <url>` opens url in an existing window, not the new one        ",Toolkit,Startup and Profile         ,2022-10-11    ,firefox browser url open url existing window new one ,1,open,"window, open, browser",open
impossible to close bookmarks properties dialog using [cancel] if it is open in two windows at the same time        ,Firefox,Bookmarks & History        ,2022-10-10    ,impossible close bookmark property dialog using cancel open two window time ,1,"bookmark, open","window, open, close",open
firefox hang with seccomp enabled on openshift        ,Core,Security: Process Sa        ,2022-11-03    ,firefox hang seccomp enabled openshift ,0,open,open,open
